time	V(v_out)
0.000000000000000e+00	0.000000e+00
1.431219183000866e-10	3.914862e-06
2.862438366001731e-10	1.565291e-05
4.293657549002597e-10	3.521415e-05
5.724876732003463e-10	6.259858e-05
7.156095915004328e-10	9.780620e-05
8.587315098005195e-10	1.408370e-04
1.001853428100606e-09	1.916910e-04
3.570729463618353e-08	1.330154e-02
7.041273584426646e-08	2.616158e-02
1.051181770523494e-07	3.877182e-02
1.398236182604323e-07	5.113225e-02
1.745290594685152e-07	6.324289e-02
2.092345006765982e-07	7.510372e-02
2.439399418846810e-07	8.671474e-02
4.392524418846809e-07	1.481168e-01
6.345649418846809e-07	2.032203e-01
8.298774418846809e-07	2.528536e-01
1.025189941884681e-06	2.977339e-01
1.220502441884681e-06	3.384819e-01
1.415814941884681e-06	3.756349e-01
1.611127441884681e-06	4.096582e-01
1.806439941884681e-06	4.409544e-01
2.001752441884681e-06	4.698722e-01
2.197064941884681e-06	4.967134e-01
2.392377441884681e-06	5.217395e-01
2.587689941884682e-06	5.451768e-01
2.783002441884682e-06	5.672215e-01
2.978314941884682e-06	5.880433e-01
3.173627441884682e-06	6.077896e-01
3.368939941884682e-06	6.265876e-01
3.564252441884682e-06	6.445481e-01
3.954877441884682e-06	6.783264e-01
4.345502441884681e-06	7.097484e-01
4.736127441884680e-06	7.392836e-01
5.322064941884679e-06	7.807984e-01
5.908002441884678e-06	8.196964e-01
6.354431013313250e-06	8.477156e-01
6.800859584741822e-06	8.749588e-01
7.247288156170393e-06	9.014261e-01
7.693716727598965e-06	9.271173e-01
8.140145299027537e-06	9.520326e-01
8.586573870456108e-06	9.761719e-01
9.033002441884680e-06	9.995352e-01
1.034438637045611e-05	1.064614e+00
1.165577029902754e-05	1.126010e+00
1.296715422759897e-05	1.183722e+00
1.427853815617039e-05	1.237750e+00
1.558992208474182e-05	1.288094e+00
1.690130601331325e-05	1.334755e+00
1.821268994188468e-05	1.377732e+00
1.997050244188467e-05	1.430874e+00
2.172831494188466e-05	1.480243e+00
2.348612744188465e-05	1.525841e+00
2.524393994188464e-05	1.567666e+00
2.700175244188463e-05	1.605720e+00
2.875956494188462e-05	1.640001e+00
3.051737744188460e-05	1.670511e+00
3.227518994188459e-05	1.698649e+00
3.403300244188458e-05	1.724790e+00
3.579081494188457e-05	1.748934e+00
3.754862744188456e-05	1.771080e+00
3.930643994188455e-05	1.791229e+00
4.106425244188455e-05	1.809381e+00
4.282206494188453e-05	1.825536e+00
4.460777922759880e-05	1.840654e+00
4.639349351331308e-05	1.854685e+00
4.817920779902736e-05	1.867630e+00
4.996492208474163e-05	1.879489e+00
5.175063637045591e-05	1.890262e+00
5.353635065617018e-05	1.899949e+00
5.532206494188445e-05	1.908549e+00
5.713568101331305e-05	1.916588e+00
5.894929708474164e-05	1.924042e+00
6.076291315617024e-05	1.930912e+00
6.257652922759883e-05	1.937197e+00
6.439014529902743e-05	1.942897e+00
6.620376137045602e-05	1.948013e+00
6.801737744188461e-05	1.952545e+00
6.985889529902752e-05	1.956775e+00
7.170041315617043e-05	1.960694e+00
7.354193101331335e-05	1.964302e+00
7.538344887045626e-05	1.967599e+00
7.722496672759917e-05	1.970585e+00
7.906648458474208e-05	1.973259e+00
8.090800244188498e-05	1.975622e+00
8.280532387045647e-05	1.977856e+00
8.470264529902795e-05	1.979921e+00
8.659996672759944e-05	1.981819e+00
8.849728815617092e-05	1.983548e+00
9.039460958474240e-05	1.985109e+00
9.229193101331389e-05	1.986502e+00
9.418925244188536e-05	1.987727e+00
9.622608279902828e-05	1.988927e+00
9.826291315617119e-05	1.990032e+00
1.002997435133141e-04	1.991041e+00
1.023365738704570e-04	1.991955e+00
1.043734042275999e-04	1.992774e+00
1.064102345847429e-04	1.993497e+00
1.084470649418858e-04	1.994125e+00
1.107629131561715e-04	1.994770e+00
1.130787613704573e-04	1.995359e+00
1.153946095847431e-04	1.995891e+00
1.177104577990289e-04	1.996367e+00
1.200263060133147e-04	1.996787e+00
1.223421542276004e-04	1.997151e+00
1.246580024418862e-04	1.997458e+00
1.275039845847434e-04	1.997792e+00
1.303499667276007e-04	1.998093e+00
1.331959488704579e-04	1.998360e+00
1.360419310133151e-04	1.998594e+00
1.388879131561723e-04	1.998794e+00
1.417338952990296e-04	1.998960e+00
1.445798774418868e-04	1.999092e+00
1.486256363704583e-04	1.999252e+00
1.526713952990299e-04	1.999392e+00
1.567171542276014e-04	1.999512e+00
1.607629131561730e-04	1.999611e+00
1.648086720847445e-04	1.999691e+00
1.688544310133161e-04	1.999750e+00
1.729001899418876e-04	1.999790e+00
1.756066631561734e-04	1.999816e+00
1.783131363704592e-04	1.999840e+00
1.810196095847450e-04	1.999862e+00
1.837260827990308e-04	1.999880e+00
1.864325560133166e-04	1.999896e+00
1.891390292276024e-04	1.999910e+00
1.918455024418881e-04	1.999921e+00
2.000000000000000e-04	1.999948e+00
